accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE288776	MYRF Controls Mesothelium Specification, Signaling, and Plasticity [CUT&Run]	Mus musculus		6			Tacstd2 AND lung	The mesothelium is a squamous monolayer that ensheathes internal organs and lines the body cavities. Aside from facilitating tissue sliding, its additional functions remain poorly understood. Here, we study the mesothelium through investigating myelin regulatory factor (Myrf), a transcription factor expressed in the mesothelium and a top mutated gene in congenital diaphragmatic hernia (CDH), a developmental disorder that affects the lung and diaphragm. In mice, inactivation of Myrf early in embryogenesis resulted in CDH and defective mesothelium specification, compromising its role as a signaling center for lung growth. Inactivation after mesothelium specification led to additional defects, including enhanced differentiation into various mesenchymal cell types, causing a striking accumulation of elastin-expressing smooth muscle/myofibroblasts encasing the lung, mimicking pleuroparenchymal fibroelastosis (PPFE), a rare adult lung condition. Compound mutants demonstrate that MYRF functions synergistically with YAP/TAZ in mesothelium differentiation. Together, these findings highlight the complex role of the mesothelium in development and disease.
GSE289556	Dual RNA-seq analysis reveals the interaction between multidrug-resistant Klebsiella pneumoniae and host in a mouse model of pneumonia	Klebsiella pneumoniae; Mus musculus		36			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Multidrug-resistant Klebsiella pneumoniae (MDR-KP) poses a significant global health threat, associated with high morbidity and mortality rates among hospitalized patients. The interaction between MDR-KP and its host is highly complex. Here, we explored these interactions in a mouse model of pneumonia using dual RNA-seq analysis.Our results revealed that, compared to the low-dose group, the high-dose group significantly upregulated hypoxia and pro-inflammatory cytokine-related genes in the host, and siderophore-related genes in the bacteria. Correlation analysis demonstrated a significant association between siderophore-related genes and clusters of genes related to pro-inflammatory cytokines and hypoxia.
GSE289676	Human PSC-based Modeling of Pulmonary Fibrosis Identifies p300/CBP Inhibition as a Suppressor of Alveolar Transitional Cell State [epithelial]	Homo sapiens		9			Tacstd2 AND lung	In this study, we conducted a drug screening using an in vitro pulmonary fibrosis model and identified p300/CBP inhibitors as candidate therapeutic agents. We investigated the mechanisms underlying the emergence of the alveolar transitional cell state (ATCS) with human PSC-derived alveolar organoids.
GSE289678	Human PSC-based Modeling of Pulmonary Fibrosis Identifies p300/CBP Inhibition as a Suppressor of Alveolar Transitional Cell State [BLM]	Homo sapiens		9			Tacstd2 AND lung	In this study, we conducted a drug screening using an in vitro pulmonary fibrosis model and identified p300/CBP inhibitors as candidate therapeutic agents. We investigated the mechanisms underlying the emergence of the alveolar transitional cell state (ATCS) with human PSC-derived alveolar organoids.
GSE289679	Modeling of spontaneous pulmonary fibrosis via cellular senescence in type 2 alveolar epithelial cells derived from human iPSCs [epithelial]	Homo sapiens		6			Tacstd2 AND lung	Telomere dysfunction in type II alveolar epithelial (AT2) cells causes pulmonary fibrosis in a subset of patients. TRF2 is a key component of the shelterin complex (SC) which prevents abnormally shortened and uncapped telomeres and genetic variants of SC were reported in some familial cases of IPF. We conceived that in vitro senescence model of AT2 cells derived from human induced pluripotent stem cells (iPSCs) would be beneficial for elucidating the mechanism of IPF progression. Then we generated an iPSC line using a doxycycline (dox) -inducible lentiviral vector encoding the dominant negative variant of TRF2 (TRF2DN). We next differentiated this iPSC line into AT2 (iAT2) cells and expressed TRF2DN protein in a dox-inducible manner. Alveolar organoids consisting of TRF2DN-expressing iAT2 cells and human fetal lung fibroblasts showed contraction of the organoid matrices
GSE289682	Modeling of spontaneous pulmonary fibrosis via cellular senescence in type 2 alveolar epithelial cells derived from human iPSCs [HFLF]	Homo sapiens		6			Tacstd2 AND lung	Telomere dysfunction in type II alveolar epithelial (AT2) cells causes pulmonary fibrosis in a subset of patients. TRF2 is a key component of the shelterin complex (SC) which prevents abnormally shortened and uncapped telomeres and genetic variants of SC were reported in some familial cases of IPF. We conceived that in vitro senescence model of AT2 cells derived from human induced pluripotent stem cells (iPSCs) would be beneficial for elucidating the mechanism of IPF progression. Then we generated an iPSC line using a doxycycline (dox) -inducible lentiviral vector encoding the dominant negative variant of TRF2 (TRF2DN). We next differentiated this iPSC line into AT2 (iAT2) cells and expressed TRF2DN protein in a dox-inducible manner. Alveolar organoids consisting of TRF2DN-expressing iAT2 cells and human fetal lung fibroblasts showed contraction of the organoid matrices
GSE289768	Ageing promotes metastasis via activation of the integrated stress response [RNA-Seq OE]	Mus musculus		16			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Lung cancer predominantly affects older individuals, yet how physiological aging influences tumor evolution remains poorly understood. Here, we show that aging reprograms the evolutionary trajectory of KRAS-driven lung adenocarcinoma, limiting primary tumor growth while promoting metastatic dissemination through epigenetic activation of the integrated stress response (ISR). The ISR effector ATF4 drives epithelial and metabolic plasticity, conferring metastatic competence. Mechanistically, aged tumor cells exhibit increased sensitivity to the PERK–eIF2α arm of the unfolded protein response, sustaining persistent ATF4 signaling. Targeting the ISR-ATF4 genetically or pharmacologically abolishes these adaptations and limits dissemination, whereas ATF4 overexpression alone is sufficient to induce metastasis. The aging–ATF4 axis imposes a dependency on glutamine metabolism, revealing a therapeutically actionable vulnerability. Clinical analyses confirm that ATF4 is enriched in aged tumors and correlates with poor survival and advanced-stage disease. Collectively, these results define epigenetic ISR–ATF4 activation as a causal driver of lineage plasticity and metastasis in aged tumors, revealing a therapeutic opportunity in older patients with lung adenocarcinoma, the most common yet understudied subset of lung cancer
GSE290143	Thymic alveolar type II epithelial mimetic cells revealed by Runx1-deficiency [CUT&Run]	Mus musculus		3			Tacstd2 AND lung	The mechanisms used to prevent autoimmune lung disease are incompletely understood. Recent studies in the thymus have identified unique populations of medullary thymic epithelial cells (mTECs) called mimetic cells that transcriptionally mimic peripheral epithelial populations. These mimetic cells have been found to have important functions in the thymus in immune tolerance and the diversity and cell types represented in this pool of cells represents an active area of investigation. Here, we utilized a mouse line with thymic specific deletion of the Runt related transcription factor 1 (Runx1) to identify a novel mimetic cell type that transcriptionally mimic alveolar type II (AT2) lung epithelial cells. Runx1 binds to genomic regions associated with epidermal growth factor receptor (EGFR) signaling suggesting a function for EGFR in regulating AT2 mTEC development.
GSE290144	Thymic alveolar type II epithelial mimetic cells revealed by Runx1-deficiency [scRNA-seq]	Mus musculus		2			Tacstd2 AND lung	The mechanisms used to prevent autoimmune lung disease are incompletely understood. Recent studies in the thymus have identified unique populations of medullary thymic epithelial cells (mTECs) called mimetic cells that transcriptionally mimic peripheral epithelial populations. These mimetic cells have been found to have important functions in the thymus in immune tolerance and the diversity and cell types represented in this pool of cells represents an active area of investigation. Here, we utilized a mouse line with thymic specific deletion of the Runt related transcription factor 1 (Runx1) to identify a novel mimetic cell type that transcriptionally mimic alveolar type II (AT2) lung epithelial cells. Runx1 binds to genomic regions associated with epidermal growth factor receptor (EGFR) signaling suggesting a function for EGFR in regulating AT2 mTEC development.
GSE291730	KLF4 promotes a KRT13+ hillock-like state in squamous lung cancer	Mus musculus; Homo sapiens		55			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	This SuperSeries is composed of the SubSeries listed below.
GSE293599	The Polycomb Protein EED Constrains the SCLC Neuroendocrine Phenotype and Drives Lung Cancer Histological Transformation [Bulk RNA-seq]	Mus musculus		50			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	Lung cancer is comprised of distinct histological subtypes including lung adenocarcinoma (LUAD) and small cell lung cancer (SCLC). Although histological subtypes of lung cancer are often mutually exclusive, patients can present with combined LUAD and SCLC histology tumors. Moreover, LUADs can histologically transform to SCLC through lineage plasticity as a mechanism of resistance to targeted therapies, which most often occurs in EGFR-Mutant LUAD with concurrent RB1 and TP53 inactivation after treatment with EGFR inhibitors. The mechanisms that promote LUAD to SCLC histological transformation are poorly understood. Expression of genes associated with PRC2 activity increase during LUAD to SCLC histological transformation, but it is unknown whether PRC2 is a causative driver of histological transformation in lung cancer. To study the role of the PRC2 complex in SCLC tumorigenesis, we used CRISPR-based somatic gene editing to make SCLC genetically-engineered mouse models (GEMMs) deficient for PRC2 through inactivation of EED; PRC2’s core scaffolding subunit. Strikingly, EED inactivation caused complete histological transformation from ASCL1-positive SCLC to LUAD through an intermediate NEUROD1-positive/NCAM-positive cell state. Mechanistically, SCLC to LUAD histological transformation is initiated when PRC2 inactivation de-represses bivalent genes marked by both H3K27me3 and K3K4me3 including RAS, PI3K, and MAPK pathway genes as well as NEUROD1. Lastly, we developed an EGFR-Mutant LUAD GEMM with concurrent RB1 and TP53 inactivation where EGFR inhibition can promote SCLC transformation and a metastatic phenotype; both of which are completely abrogated by EED inactivation. Together, these findings show that the PRC2 complex is required to drive ASCL1-positive neuroendocrine SCLC with its loss promoting the LUAD phenotype nominating PRC2 inhibition as a therapeutic strategy to block SCLC transformation.
